ID,Form,IPA,Gloss,Language_ID
0,Ⴀ,[ɑ],First letter of the Georgian alphabet (Asomtavruli form). Its name is an ([ɑn]) and it is followed by Ⴁ (Ⴁ). It is the equivalent of the standard Mkhedruli form ა (a).,0
1,Ⴁ,/b/,Second letter of the Georgian alphabet (Asomtavruli form). Its name is ban ([bɑn]) and it is preceded by Ⴀ (Ⴀ) and followed by Ⴂ (Ⴂ). It is the equivalent of the standard Mkhedruli form ბ (b).,0
2,Ⴂ,/ɡ/,Third letter of the Georgian alphabet (Asomtavruli form). Its name is gan ([ɡɑn]) and it is preceded by Ⴁ (Ⴁ) and followed by Ⴃ (Ⴃ). It is the equivalent of the standard Mkhedruli form გ (g).,0
3,Ⴃ,[d̪],Fourth letter of the Georgian alphabet (Asomtavruli form). Its name is don ([d̪ɔn]) and it is preceded by Ⴂ (Ⴂ) and followed by Ⴄ (Ⴄ). It is the equivalent of the standard Mkhedruli form დ (d).,0
4,Ⴄ,[ɛ],Fifth letter of the Georgian alphabet (Asomtavruli form). Its name is en ([ɛn]) and it is preceded by Ⴃ and followed by Ⴅ. It is the equivalent of the standard Mkhedruli form ე (e).,0
5,Ⴅ,[v],Sixth letter of the Georgian alphabet (Asomtavruli form). Its name is vin ([vɪn]) and it is preceded by Ⴄ and followed by Ⴆ. It is the equivalent of the standard Mkhedruli form ვ (v).,0
6,Ⴍ,/ɔ/,Sixteenth letter of the Georgian alphabet (Asomtavruli form). Its name is on ([ɔn]) and it is preceded by Ⴢ and followed by Ⴎ. It is the equivalent of the standard Mkhedruli form ო (o).,0
7,ⴭ,,Nuskhuri counterpart of ჽ (ჽ),0
8,Ⴭ,,Asomtavruli counterpart of ჽ (ჽ),0
9,-ა,,Suffixed to nouns and adjectives for the purpose of,0
10,-ა,,"is, ის ექიმია ― is ekimia ― She/he is a doctor, ლამაზია",0
11,-ა,,Forms verbal nouns from verbs.,0
12,-ა,,"Expresses having something. For example ცხვირა (cxvira),",0
13,-ა,,"is, ის ექიმია ― is ekimia ― She/he is a doctor, ლამაზია",0
14,-ა,,Forms verbal nouns from verbs.,0
15,-ა,,"Expresses having something. For example ცხვირა (cxvira),",0
16,-ა,,Forms verbal nouns from verbs.,0
17,-ა,,"Expresses having something. For example ცხვირა (cxvira),",0
18,-ა,,"Expresses having something. For example ცხვირა (cxvira),",0
19,ა,/a/,"First letter of the Georgian alphabet, transliterated as а. Its name is an and it is followed by ბ.",0
20,-ა-,,Alternative form of -ა (-a),0
21,ა-,/a/,"Indicates movement from low to high/down to up, Derives",0
22,ააბარგებს,/aabarɡɛbs/,(transitive) to make (someone) move house,0
23,ააგდებს,/aaɡdɛbs/,(transitive) to throw (something) up,0
24,ააგიზგიზებს,/aaɡizɡizɛbs/,"(transitive) to start a strong, roaring fire",0
25,აადვილებს,/aadvilɛbs/,to make easy,0
26,აალებადი,/aalɛbadi/,flammable,0
27,აამებს,/aamɛbs/,"(transitive) to bring pleasure to
მისმა საჩუქარმა ძალიან მაამაmisma sačukarma ʒalian maamaHis present delighted me very much",0
28,აბა,/aba/,"so, well, now, right; Used for attention, threat, amazement and question
აბა, სად მივდივართ?aba, sad mivdivart?So, where are we going?
აბა, წადი სახლშვი ახლავეaba, c̣adi saxlšvi axlave[Right, so,] go home right now!
აბა, ეს ვის გაუგია?aba, es vis gaugia?Right, who's even heard about this?",0
29,აბაზანა,/abazana/,bathtub,0
30,აბაზაშვილი,/abazaʃvili/,A  surname​.,0
31,აბაზი,/abazi/,"(numismatics) abazi, 20 kopeck coin",0
32,აბაიაძე,/abaiad͡zɛ/,A  surname​.,0
33,აბაიშვილი,/abaiʃvili/,A  surname​.,0
34,აბაკი,/abakʼi/,abacus,0
35,აბამს,/abams/,(transitive) to tie up,0
36,აბანო,/abanɔ/,"bathroom, bathhouse",0
37,აბანოზი,/abanɔzi/,ebony,0
38,აბაჟური,/abaʒuri/,lampshade,0
39,აბარებს,/abarɛbs/,to apply to university,0
40,აბასაშვილი,/abasaʃvili/,A  surname​.,0
41,აბატი,/abatʼi/,abbot,0
42,აბაშვილი,/abaʃvili/,A  surname​.,0
43,აბაშიშვილი,/abaʃiʃvili/,A  surname​.,0
44,აბგა,/abɡa/,shoulder bag,0
45,აბდა-უბდა,/abdaubda/,"blowzy, mix-up",0
46,აბდაუბდა,/abdaubda/,nonsense,0
47,აბედი,/abɛdi/,"tinder, touchwood; amadou, აბედის სოკო ― abedis soḳo",0
48,აბეზარი,,annoying,0
49,აბეზღებს,/abɛzɣɛbs/,"(transitive) to  rat out, to tell on someone, to peach
ხალხი ერთმანეთს აბეზღებს.xalxi ertmanets abezɣebs.People peach each other.",0
50,აბელაშვილი,/abɛlaʃvili/,A  surname​.,0
51,აბელი,/abɛli/,Abe,0
52,აბელიანი,/abɛliani/,A small village in Georgia,0
53,აბეწვაშვილი,/abɛt͡sʼvaʃvili/,A  surname​.,0
54,აბზაცი,/abzat͡si/,paragraph,0
55,აბზინდა,/abzinda/,absinthe wormwood (Artemisia absinthium),0
56,აბზინდა,/abzinda/,buckle,0
57,აბზინდა,/abzinda/,buckle,0
58,აბი,/abi/,pill (small portion of a drug or drugs to be taken,0
59,აბიაშვილი,/abiaʃvili/,A  surname​.,0
60,აბიბინებს,/abibinɛbs/,"(transitive) to make (a tree, plant etc.) sway",0
61,აბიტურიენტი,,"college applicant, candidate for qualifying examination",0
62,აბლაგვებს,/ablaɡvɛbs/,"to dull, to blunt",0
63,აბლაუტი,/ablautʼi/,ablaut,0
64,აბრამაშვილი,/abramaʃvili/,A  surname​.,0
65,აბრამიშვილი,/abramiʃvili/,A  surname​.,0
66,აბსოლუტური,/absɔlutʼuri/,absolute,0
67,აბსტრაქტული,/abstʼrakʰtʼuli/,abstract,0
68,აბსტრაქცია,/abstʼrakʰt͡sia/,"abstract, abstraction",0
69,აბსურდული,/absurduli/,absurd,0
70,აბსურდულობა,/absurdulɔba/,absurdity,0
71,აბუაშვილი,/abuaʃvili/,A  surname​.,0
72,აბულაშვილი,/abulaʃvili/,A  surname​.,0
73,აბურძგნილი,/aburd͡zɡnili/,shaggy,0
74,აბუსერიძე,/abusɛrid͡zɛ/,A  surname​.,0
75,აბშილავა,/abʃilava/,A  surname​.,0
76,აგარა,/aɡara/,"dacha, country house",0
77,აგბობს,/aɡbɔbs/,(obsolete) to boil,0
78,აგდებული,/aɡdɛbuli/,contemptuous,0
79,აგებინებს,/aɡɛbinɛbs/,to apprise,0
80,აგებს,/aɡɛbs/,(transitive) to lose,0
81,აგენტი,/aɡɛntʼi/,agent,0
82,აგენტურა,/aɡɛntʼura/,espionage,0
83,აგვირგვინებს,/aɡvirɡvinɛbs/,"(transitive, archaic) to crown, (transitive, figuratively)",0
84,აგვისტო,/aɡvistʼɔ/,August,0
85,აგზნებადობა,/aɡznɛbadɔba/,excitability,0
86,აგიდელი,/aɡidɛli/,"Agidel, a city in Russia",0
87,აგინებს,/aɡinɛbs/,"(transitive) to cuss, curse, scold",0
88,აგიტატორი,/aɡitʼatʼɔri/,agitator,0
89,აგლომერაცია,/aɡlɔmɛrat͡sia/,"agglomeration, conurbation",0
90,აგნოსტიკური,/aɡnɔstʼikʼuri/,agnostic,0
91,აგონია,/aɡɔnia/,agony,0
92,აგორებს,/aɡɔrɛbs/,"to bowl, to wheel, to trundle",0
93,აგრეთვე,/aɡrɛtʰvɛ/,"both, either, item, too",0
94,აგრესია,,aggression,0
95,აგრესიულად,/aɡrɛsiulad/,"aggressively, belligerently",0
96,აგრესიული,/aɡrɛsiuli/,"aggressive, belligerent",0
97,აგრესიულობა,/aɡrɛsiulɔba/,aggressiveness,0
98,აგრესორი,/aɡrɛsɔri/,aggressor,0
99,აგროვებს,/aɡrɔvɛbs/,"to collect, to mass, to gather",0
100,აგრძელებს,/aɡrd͡zɛlɛbs/,"to lengthen, to make longer",0
101,აგური,/aɡuri/,"brick, (card games) diamonds",0
102,ადათი,/adatʰi/,"custom, Synonyms: ზნე (zne), ჩვეულება (čveuleba), წესი",0
103,ადამაშვილი,/adamaʃvili/,A  surname​.,0
104,ადამი,/adami/,Adam,0
105,ადამიანი,/adamiani/,"human, person, Synonyms: კაცი (ḳaci), პირი (ṗiri),",0
