L2_orth,L2_ipa,L2_gloss,L2_etym
अंकल,ˈʌŋkəl,"uncle, Synonym: चाचा (cācā), respectful form of address",uncle
अंग्रेज़ी,ˈɪŋɡəl,"English; British; of or pertaining to the English language,",inglês
अंग्रेज़ी,ˈɪŋɡəl,"English (language), क्या आपको अंग्रेज़ी आती है?kyā",inglês
अंटार्कटिका,æntˈɑː͡ɹktɪkə,Antarctica,Antarctica
अंतरिम,ˈɪntɚɹˌɪm,"interim, आज सीनेट में अंतरिम प्रधान मंत्री की चुनाव",interim
अंतर्जाल,ˈɪntɚnˌɛt,"(computing, neologism) internet",internet
अकादमिक,ˌækədˈɛmɪk,"academic, Synonym: शैक्षिक (śaikṣik)",academic
अकादमी,ɐkˈædəmi,academy,academy
अक्टूबर,ɑːktˈoʊbɚ,October,October
अक्तूबर,ɑːktˈoʊbɚ,"Alternative form of अक्टूबर (akṭūbar, “October”)",October
अजेंडा,ɐd͡ʒˈɛndə,"agenda, Synonym: कार्यावली (kāryāvlī)",agenda
अपॉइंटमेंट,ɐpˈɔɪntmənt,appointment (arrangement for a meeting),appointment
अप्रैल,ˈeɪpɹəl,April,April
अफ़सर,ˈɑːfɪsɚ,"officer, Synonym: अधिकारी (adhikārī)",officer
अमरीका,ɐmˈɛɹɪkə,(colloquial) United States of America (a country in,America
अमीबा,ɐmˈiːbə,amoeba; ameba,amoeba
अमेरिकन,ɐmˈɛɹɪkən,American,American
अमेरिकन,ɐmˈɛɹɪkən,American (person),American
अमेरिका,ɐmˈɛɹɪkə,"America (the United States of America, a country in",America
अरारोट,ˈæɹoʊɹˌuːt,"arrowroot, Maranta arundinacea",arrowroot
अर्जेंटीना,ˌɑː͡ɹd͡ʒəntˈiːnə,Argentina (a country in South America),Argentina
अर्दली,ˈɔː͡ɹdɚli,"orderly, attendant",orderly
अल्टीमेटम,ˌʌltɪmˈeɪɾəm,"ultimatum, Synonym: अंतिम चेतावनी (antim cetāvnī)",ultimatum
अल्बम,ˈælbəm,"album (of photos, music, etc.)",album
अल्बानियन,ælbˈeɪniən,Albanian,Albanian
अल्बानियन,ælbˈeɪniən,an Albanian,Albanian
अल्बानियन,ælbˈeɪniən,"Albanian language, Synonym: अल्बानियाई (albāniyāī)",Albanian
अवार्ड,ɐwˈɔː͡ɹd,"award, Synonym: पुरस्कार (puraskār)",award
असिस्टेंट,ɐsˈɪstənt,"assistant, Synonym: सहायक (sahāyak)",assistant
असेंबली,ɐsˈɛmbli,"assembly, Synonym: विधान सभा (vidhān sabhā)",assembly
अस्थमा,ˈæzmə,(pathology) asthma,asthma
आंग्ल,ˈæŋɡloʊ,"Anglo, English, Synonyms: अंग्रेज़ (aṅgrez), अंग्रेज़ी",anglo
आइंस्टीनियम,aɪnstˈaɪniəm,einsteinium,einsteinium
आइसक्रीम,ˈaɪs kɹˈiːm,ice cream,ice cream
आइस्ड,ˈaɪst,"iced, आइस्ड टी ― āisḍ ṭī ― iced tea, Synonym: बर्फ़ीला",iced
आउट,ˈaʊt,(cricket) out,out
आनरेरी,ˈɑːnɚɹˌɛɹi,honourary,honourary
आयन,ˈaɪɑːn,"(physics, chemistry) ion",ion
आयरलैंड,ˈaɪɚlənd,Ireland (a country in Europe),Ireland
आर्यन,ˈɑː͡ɹɹɪən,"A male given name, Aryan, from English, ultimately",Aryan
इंगनी,mˈæŋɡənˌiːz,manganese,manganese
इंग्लिश,ˈɪŋɡlɪʃ,"(Anglicism) English (language), Synonym: अंग्रेज़ी",English
इंग्लैंड,ˈɪŋɡlənd,"England (a constituent country of the United Kingdom),",England
इंच,ˈɪnt͡ʃ,"inch (unit of measure equalling 1⁄12 of a foot), ग्यारह",inch
इंचियोन,ˈɪnt͡ʃən,Incheon (a city in South Korea),Incheon
इंजन,ˈɛnd͡ʒɪn,"engine, locomotive, railway engine",engine
इंजीनियर,ˌɛnd͡ʒɪnˈɪɹ,"engineer [from 20th c.], मेरा बेटा सिर्फ़ और सिर्फ़",engineer
इंटरनेट,ˈɪntɚnˌɛt,"the Internet, internet",Internet
इंटरफ़ेस,ˈɪntɚfˌeɪs,interface,interface
इंटरव्यू,ˈɪntɚvjˌuː,"interview, Synonym: साक्षात्कार (sākṣātkār)",interview
इंट्यूबेशन,ɪntuːbˈeɪʃən,intubation,intubation
इंट्रेंस,ˈɛntɹəns,"entrance, Synonym: प्रवेश (praveś), entrance examination",entrance
इंडस्ट्री,ˈɪndʌstɹi,"industry; an industry, Synonym: उद्योग (udyog)",industry
इंडिया,ˈɪndiə,"India (a country in South Asia), Synonyms: भारत (bhārat),",India
इंडोनेशियन,ɪndoʊnˈiːʒən,"Indonesian (language), Synonym: इंडोनेशियाई (iṇḍoneśiyāī)",Indonesian
इंडोनेशियन,ɪndoʊnˈiːʒən,Indonesian,Indonesian
इंडोनेशिया,ɪndoʊnˈiːʒə,"Indonesia (a country in Southeast Asia), Synonym: दीपांतर",Indonesia
